Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
10/21/2020 7:59,10/21/2020 8:02,100,173,TRUE,10/21/2020 8:02,UF,,Female,20,Hispanic/Latino,White,,High School,,Right,Spanish,14,c83f657b-3801-41a3-b556-e2e4bc1af604,c83f657b-380
9/24/2020 10:09,9/24/2020 10:14,100,279,TRUE,9/24/2020 10:14,Temple,45,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,cdf4f735-3aa0-47c9-9c98-b474b4ada4bd  ,cdf4f735-3aa
10/20/2020 12:59,10/20/2020 13:02,100,177,TRUE,10/20/2020 13:02,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,d0648ecc-f187-4547-9e20-b7b868de84ef,d0648ecc-f18
9/29/2020 13:08,9/29/2020 13:16,100,462,TRUE,9/29/2020 13:16,Temple,57,Male,18,Not Hispanic/Latino,Black/African American,,High School,,Left,English,,d1009dcc-6823-4bd6-8605-e20a896057c9  ,d1009dcc-682
9/17/2020 12:02,9/17/2020 12:06,100,201,TRUE,9/17/2020 12:06,UF,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,Hindi,4,d1c7c3b3-2c87-462b-b504-cda5db9c0ce0,d1c7c3b3-2c8
10/2/2020 10:35,10/2/2020 10:38,100,149,TRUE,10/2/2020 10:38,Temple,0,Male,20,Not Hispanic/Latino,Asian,,High School,,Left,English,,d2af8f06-6bfe-46f9-ab49-456fb4c801fa,d2af8f06-6bf
10/5/2020 13:05,10/5/2020 13:08,100,152,TRUE,10/5/2020 13:08,UF,,Female,18,Not Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,English,,d2bcc8aa-38cf-4417-8fa3-7e7e3cb7c28a,d2bcc8aa-38c
9/15/2020 6:13,9/15/2020 6:16,100,171,TRUE,9/15/2020 6:16,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,d46d4806-a974-4bb4-a388-9274750b4d07,d46d4806-a97
7/30/2020 8:02,7/30/2020 8:05,100,192,TRUE,7/30/2020 8:05,UF,,Male,19,Not Hispanic/Latino,White,,High School,,Right,english,,d6a6db2b-aeb3-44b6-b04a-4710eaa8ba36 ,d6a6db2b-aeb
10/20/2020 7:59,10/20/2020 8:02,100,180,TRUE,10/20/2020 8:02,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,d89053b1-22b0-4ae4-8768-4f233e773b1a  ,d89053b1-22b
12/4/2020 13:40,12/4/2020 13:44,100,236,TRUE,12/4/2020 13:44,Temple,144,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,d9c6574f-496e-495d-a6ea-3f33058c15cb,d9c6574f-496
11/16/2020 8:01,11/16/2020 8:04,100,181,TRUE,11/16/2020 8:04,UF,,Male,18,Hispanic/Latino,White,,High School,,Right,Spanish,11,dadb77ed-00b8-4632-af0f-f569dafb5a5a ,dadb77ed-00b
10/14/2020 10:07,10/14/2020 10:10,100,187,TRUE,10/14/2020 10:10,UF,,Male,18,Hispanic/Latino,White,,High School,,Right,English,,df273804-3584-46cc-a97c-ecf19582522f,df273804-358
