participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Batty House,137,83.35216568,53.64783432,same
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Batty House,42,46.54689912,4.546899122,same
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Harris Hall,7,4.196894849,2.803105151,same
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Snow Church,85,66.19140238,18.80859762,different
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Lynch Station,22,32.28246429,10.28246429,same
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Sauer Center,52,46.29205396,5.707946037,different
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Tobler Museum,54,42.14615863,11.85384137,different
1003,9/10/2013 10:29,0,Harvey House,Harris Hall,Golledge Hall,99,64.9530254,34.0469746,different
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Batty House,18,173.5694617,155.5694617,different
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Tobler Museum,40,147.0284471,107.0284471,same
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Lynch Station,7,173.9683139,166.9683139,different
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Sauer Center,37,76.21088344,39.21088344,same
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Snow Church,46,1.204134401,44.7958656,same
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Harris Hall,170,176.2022806,6.202280614,different
1003,9/10/2013 10:29,0,Golledge Hall,Snow Church,Harvey House,149,139.9309368,9.069063217,different
1003,9/10/2013 10:29,0,Snow Church,Sauer Center,Golledge Hall,136,125.8431145,10.15688545,same
1003,9/10/2013 10:29,0,Snow Church,Sauer Center,Harris Hall,30,88.09346154,58.09346154,different
1003,9/10/2013 10:29,0,Snow Church,Sauer Center,Batty House,2,90.64700942,88.64700942,different
